协议,功能域,优先级,在协议表,请求参数,跟踪响应session,直接调用处,注册回调处,处理方式
adsmgr_ads_notify,广告与奖励,P3,False,,,,AdsModel.initModel,需单机替代策略/离线停用；保留已有权益与记录
adsmgr_load,广告与奖励,P3,True,,True,,AdsModel.initModel,需单机替代策略/离线停用；保留已有权益与记录
adsmgr_refuse,广告与奖励,P3,True,,True,AdsModel.req_refuse,,需单机替代策略/离线停用；保留已有权益与记录
adsmgr_share,广告与奖励,P3,True,ads_type,True,AdsModel.req_share,,需单机替代策略/离线停用；保留已有权益与记录
adsmgr_share_ads,广告与奖励,P3,True,ads_id,False,AdsModel.share_ads,,需单机替代策略/离线停用；保留已有权益与记录
adsmgr_shop_free,广告与奖励,P3,True,,True,AdsModel.req_shop_free,,需单机替代策略/离线停用；保留已有权益与记录
album_delete,照片与相册,P1,True,id,True,TravelModel.deletePictureInfo,,实现本地状态/规则及兼容响应
album_delete_new,照片与相册,P1,True,id,True,TravelModel.deleteAllAdsPicture; TravelModel.deleteNewPictureInfo,,实现本地状态/规则及兼容响应
album_load,照片与相册,P1,True,"start, count",True,TravelModel.checkPictureInfoPage,TravelModel.initModel,实现本地状态/规则及兼容响应
album_load_all,照片与相册,P1,True,,True,TravelModel.requestAlbum,TravelModel.initModel,实现本地状态/规则及兼容响应
album_load_by_id_list,照片与相册,P1,True,id_list,True,TravelModel.checkPictureByIds,TravelModel.initModel,实现本地状态/规则及兼容响应
album_load_new,照片与相册,P1,True,,True,,TravelModel.initModel,实现本地状态/规则及兼容响应
album_load_recover,照片与相册,P1,True,,True,AlbumView.on_RecoverBtn; PictureRecover.onComplete,TravelModel.initModel,实现本地状态/规则及兼容响应
album_recover,照片与相册,P1,True,id,True,TravelModel.recoverPictureInfo,,实现本地状态/规则及兼容响应
album_save_new,照片与相册,P1,True,id,True,TravelModel.saveNewPictureInfo,,实现本地状态/规则及兼容响应
animpicture_add_pic,动态照片,P2,True,"anim_index, ids",True,AnimPictureModel.req_add_pic,,实现本地状态/规则及兼容响应
animpicture_album_add_pic,动态照片,P2,True,"anim_index, pic_index, pic_uid",True,AnimPictureModel.req_album_add_pic,,实现本地状态/规则及兼容响应
animpicture_album_remove_pic,动态照片,P2,True,"anim_index, pic_index, is_delete",True,AnimPictureModel.req_album_remove_pic,,实现本地状态/规则及兼容响应
animpicture_get_item,动态照片,P2,True,,True,AnimPictureModel.req_get_item,,实现本地状态/规则及兼容响应
animpicture_guide,动态照片,P2,True,,True,AnimPictureModel.req_guide,,实现本地状态/规则及兼容响应
animpicture_load,动态照片,P2,True,,True,,AnimPictureModel.initModel,实现本地状态/规则及兼容响应
animpicture_open_album,动态照片,P2,True,index,True,AnimPictureModel.req_open_album,,实现本地状态/规则及兼容响应
animpicture_remove_pic,动态照片,P2,True,"anim_index, pic_index, is_delete",True,AnimPictureModel.req_remove_pic,,实现本地状态/规则及兼容响应
animpicture_select_pic,动态照片,P2,True,id,True,AnimPictureModel.req_select_pic,,实现本地状态/规则及兼容响应
animpicture_use_item,动态照片,P2,True,"anim_index, item_id",True,AnimPictureModel.req_use_item,,实现本地状态/规则及兼容响应
annual_load,年度回顾,P3,True,,True,AnnualReviewModel.request,,实现本地状态/规则及兼容响应
annual_share,年度回顾,P3,True,,True,o.showShare,,实现本地状态/规则及兼容响应
calendar_get_beginer_reward,日历与签到,P2,True,,True,CalendarModel.req_beginer_reward,,实现本地状态/规则及兼容响应
calendar_get_code_reward,日历与签到,P2,True,day,True,CalendarModel.req_code_reward,,实现本地状态/规则及兼容响应
calendar_get_luck_reward,日历与签到,P2,True,,True,CalendarModel.req_luck_reward,,实现本地状态/规则及兼容响应
calendar_get_st_reward,日历与签到,P2,True,,True,CalendarModel.req_st_reward,,实现本地状态/规则及兼容响应
calendar_load,日历与签到,P2,True,,True,,CalendarModel.initModel,实现本地状态/规则及兼容响应
calendar_load_note,日历与签到,P2,True,,True,CalendarView.childrenCreated,CalendarModel.initModel,实现本地状态/规则及兼容响应
calendar_task_update,日历与签到,P2,True,,True,,CalendarModel.initModel,实现本地状态/规则及兼容响应
capsule_fast_task,扭蛋活动,P2,True,index,True,CapsuleModel.req_fast_task,,实现本地状态/规则及兼容响应
capsule_get_coin,扭蛋活动,P2,True,,True,CapsuleModel.req_get_coin,,实现本地状态/规则及兼容响应
capsule_load,扭蛋活动,P2,True,,True,CapsuleModel.req_load,CapsuleModel.initModel,实现本地状态/规则及兼容响应
capsule_load_coin,扭蛋活动,P2,True,,True,,CapsuleModel.initModel,实现本地状态/规则及兼容响应
capsule_load_task,扭蛋活动,P2,True,,True,,CapsuleModel.initModel,实现本地状态/规则及兼容响应
capsule_patch,扭蛋活动,P2,True,,True,CapsuleModel.req_patch,,实现本地状态/规则及兼容响应
capsule_twist,扭蛋活动,P2,True,,True,CapsuleModel.req_twist,,实现本地状态/规则及兼容响应
client_add_push_id,基础状态/设置/事件,P0,True,push_id,False,WXgameChannel.pushMessage,,需单机替代策略/离线停用；保留已有权益与记录
client_change_decorate,基础状态/设置/事件,P0,True,id,True,RoleModel.changeDecoration,,实现本地状态/规则及兼容响应
client_confirm_event,基础状态/设置/事件,P0,True,id,False,TravelModel.readTraveEvents,,实现本地状态/规则及兼容响应
client_draw_taobao,基础状态/设置/事件,P0,True,draw,True,TaobaoImportView.drawTaobao,,需单机替代策略/离线停用；保留已有权益与记录
client_get_my_wx_reward,基础状态/设置/事件,P0,True,,True,UserModel.client_load_role; GuideMiniView.onComplete; GuideMiniView.onComplete; MainOutView.onComplete,,需单机替代策略/离线停用；保留已有权益与记录
client_get_push_reward,基础状态/设置/事件,P0,True,,True,WXgameChannel.tryGetPushReward,,需单机替代策略/离线停用；保留已有权益与记录
client_gm,基础状态/设置/事件,P0,True,cmd,True,GMView.execute; GMView.execute; GMView.execute; GMView.execute; GMView.execute; GMView.commitProperties,MessageModel (constructor),本地诊断/设置或明确停用；不复制远端运营机制
client_hello,基础状态/设置/事件,P0,True,,True,NetworkControl.createPint; NetworkControl.createPint,UserModel.initModel,实现本地状态/规则及兼容响应
client_load_all_info,基础状态/设置/事件,P0,True,,True,NetworkControl.totalEvents,,实现本地状态/规则及兼容响应
client_load_decorate,基础状态/设置/事件,P0,True,,True,,RoleModel.initModel,实现本地状态/规则及兼容响应
client_load_events,基础状态/设置/事件,P0,True,,True,,TravelModel.initModel,实现本地状态/规则及兼容响应
client_load_publicity,基础状态/设置/事件,P0,False,,,,NoticeModel.initModel,实现本地状态/规则及兼容响应
client_load_role,基础状态/设置/事件,P0,True,,True,,UserModel.initModel,实现本地状态/规则及兼容响应
client_notice,基础状态/设置/事件,P0,False,,,,RoleModel.initModel,实现本地状态/规则及兼容响应
client_rename_cost,基础状态/设置/事件,P0,True,,True,RoleModel.setName,,实现本地状态/规则及兼容响应
client_set_achieve,基础状态/设置/事件,P0,True,id,False,RoleModel.setUseAchieveID,,实现本地状态/规则及兼容响应
client_set_ads,基础状态/设置/事件,P0,True,support,False,NetworkControl.totalEvents,,本地诊断/设置或明确停用；不复制远端运营机制
client_set_channel,基础状态/设置/事件,P0,True,channel,False,NetworkControl.totalEvents,,本地诊断/设置或明确停用；不复制远端运营机制
client_set_channel_id,基础状态/设置/事件,P0,True,id,False,NetworkControl.totalEvents,,本地诊断/设置或明确停用；不复制远端运营机制
client_set_client,基础状态/设置/事件,P0,True,client,False,UserModel.setClientSettings; UserModel.setClientSettings,,实现本地状态/规则及兼容响应
client_set_client_envinfo,基础状态/设置/事件,P0,True,info,False,NetworkControl.totalEvents,,本地诊断/设置或明确停用；不复制远端运营机制
client_set_icon,基础状态/设置/事件,P0,True,id,False,RoleModel.setIconID,,实现本地状态/规则及兼容响应
client_set_lang,基础状态/设置/事件,P0,True,lang,False,,,实现本地状态/规则及兼容响应
client_set_name,基础状态/设置/事件,P0,True,name,True,RoleModel.setName,,实现本地状态/规则及兼容响应
client_set_pic_show,基础状态/设置/事件,P0,True,id,False,RoleModel.setPictureID,,实现本地状态/规则及兼容响应
client_set_wx_open_id,基础状态/设置/事件,P0,True,open_id,True,NetworkControl.totalEvents,,需单机替代策略/离线停用；保留已有权益与记录
client_share_publicity,基础状态/设置/事件,P0,True,id,True,NoticeModel.req_share_publicity,,需单机替代策略/离线停用；保留已有权益与记录
client_switch_push,基础状态/设置/事件,P0,True,turnon,True,UserModel.setPushSwitch,,实现本地状态/规则及兼容响应
client_switch_rank,基础状态/设置/事件,P0,True,turnon,True,UserModel.setRankSwitch,,实现本地状态/规则及兼容响应
client_taobao_import,基础状态/设置/事件,P0,True,taobao_uid,True,GMView.commitProperties,,需单机替代策略/离线停用；保留已有权益与记录
client_user_action,基础状态/设置/事件,P0,True,name,False,,,本地诊断/设置或明确停用；不复制远端运营机制
clover_harvest,三叶草与生长,P1,True,clover_id,True,RoleModel.harvestClover,,实现本地状态/规则及兼容响应
clover_harvest_resend,三叶草与生长,P1,True,list,True,RoleModel.syncHarvestClover,,实现本地状态/规则及兼容响应
clover_load_clovers,三叶草与生长,P1,True,,True,,RoleModel.initModel,实现本地状态/规则及兼容响应
clover_notice_get,三叶草与生长,P1,True,,True,,ItemModel.initModel,实现本地状态/规则及兼容响应
clover_update,三叶草与生长,P1,True,,True,,ItemModel.initModel,实现本地状态/规则及兼容响应
cooking_complete_task,料理,P2,True,id,True,CookingModel.requestCookReward,,实现本地状态/规则及兼容响应
cooking_load_cooking,料理,P2,True,,True,CookingModel.request,CookingModel.initModel,实现本地状态/规则及兼容响应
cooking_look_ad,料理,P2,True,,True,,,实现本地状态/规则及兼容响应
cooking_refresh_task,料理,P2,True,id,True,CookingModel.requestCookRefresh,,实现本地状态/规则及兼容响应
cooking_select,料理,P2,True,index,True,CookingModel.selectTheme,,实现本地状态/规则及兼容响应
cooking_share,料理,P2,True,,True,GMView.execute; ShareView.share_callback,,实现本地状态/规则及兼容响应
cooking_start_cooking,料理,P2,True,,True,CookingModel.requestStartCooking,,实现本地状态/规则及兼容响应
